Couldn't read values in CFPrefsPlistSource<0x1079aea00> (Domain: group.io.sergeyshmagin.kdbchat, User: kCFPreferencesAnyUser, ByHost: Yes, Container: (null), Contents Need Refresh: Yes): Using kCFPreferencesAnyUser with a container is only allowed for System Containers, detaching from cfprefsd
2025-08-03T17:58:03.598306Z  INFO matrix_sdk_ffi::platform: Logging has been set up env_filter="panic=error,hyper=warn,matrix_sdk_ffi=info,matrix_sdk=info,matrix_sdk::client=trace,matrix_sdk_crypto=debug,matrix_sdk_crypto::olm::account=trace,matrix_sdk::oidc=trace,matrix_sdk::http_client=debug,matrix_sdk::sliding_sync=info,matrix_sdk_base::sliding_sync=info,matrix_sdk_ui::timeline=info,matrix_sdk::send_queue=info,matrix_sdk::event_cache=info,matrix_sdk_base::event_cache=info,matrix_sdk_sqlite::event_cache_store=info,matrix_sdk_common::store_locks=warn,matrix_sdk_base::store::ambiguity_map=warn,matrix_sdk_ui::notification_client=info,elementx=info" | bindings/matrix-sdk-ffi/src/platform.rs:483
2025-08-03T17:58:04.491372Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-2" method=GET uri="https://matrix.aibots.kz/_matrix/client/versions"}
2025-08-03T17:58:04.505146Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > send{request_id="REQ-2" method=GET uri="https://matrix.aibots.kz/_matrix/client/versions" status=200 response_size="1.1k"}
2025-08-03T17:58:04.505388Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-3" method=GET uri="https://matrix.aibots.kz/.well-known/matrix/client"}
2025-08-03T17:58:04.524371Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > send{request_id="REQ-3" method=GET uri="https://matrix.aibots.kz/.well-known/matrix/client" status=200 response_size="2.0k"}
2025-08-03T17:58:04.526024Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-4" method=GET uri="https://matrix.aibots.kz/_matrix/client/unstable/org.matrix.msc2965/auth_metadata"}
2025-08-03T17:58:04.539814Z DEBUG matrix_sdk::http_client: Error while sending request: Api(Server(ClientApi(Error { status_code: 404, body: Standard { kind: Unrecognized, message: "Unrecognized request" } }))) | crates/matrix-sdk/src/http_client/mod.rs:218 | spans: root > send{request_id="REQ-4" method=GET uri="https://matrix.aibots.kz/_matrix/client/unstable/org.matrix.msc2965/auth_metadata" status=404 response_size="59B"}
2025-08-03T17:58:04.540086Z ERROR matrix_sdk_ffi::client: Failed to fetch OIDC provider metadata: OAuth 2.0 is not supported by the homeserver | bindings/matrix-sdk-ffi/src/client.rs:337
2025-08-03T17:58:04.540598Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: send{request_id="REQ-5" method=GET uri="https://matrix.aibots.kz/_matrix/client/v3/login"}
2025-08-03T17:58:04.554060Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: send{request_id="REQ-5" method=GET uri="https://matrix.aibots.kz/_matrix/client/v3/login" status=200 response_size="78B"}
2025-08-03T17:58:04.558272Z  INFO elementx: Sliding sync version: native | AuthenticationService.swift:59 | spans: root
